Malus_domestica,Apple
Prunus_armeniaca,Apricot
Persea_americana,Avocado
Vaccinium_corymbosum,Blueberry
Bertholletia_excelsa,Brazil nut
Ceratonia_siliqua,Carob
Anacardium_occidentale,Cashew
Castanea_sativa,Chestnut
Citrus_limon,Citrus
Coffea_arabica,Coffee
Vaccinium_macrocarpon,Cranberry
Citrus_paradise,Grapefruit
Corylus_avellana,Hazelnut
Simmondsia_chinensis,Jojoba
Actinidia_deliciosa,Kiwi
Mangifera_indica,Mango
Elaeis_guineensis,Oil palm
Olea_europaea,Olive
Citrus_aurantium,Orange
Prunus_persica,Peach
Diospyros_kaki,Persimmon
Pistacia_vera,Pistachio
Prunus_domestica,Plum
Cydonia_oblonga,Quince
Vitellaria_paradoxa,Sheanut
Citrus_reticulata,Tangerine
Juglans_nigra,Walnut