TPL_name,Genus,Family,FAO_name
Malus domestica,Malus,Rosaceae,apples
Prunus armeniaca,Prunus,Rosaceae,apricots
Persea americana,Persea,Lauraceae,avocados
Vaccinium corymbosum,Vaccinium,Ericaceae,blueberries
Bertholletia excelsa,Bertholletia,Lecythidaceae,Brazil nuts
Anacardium occidentale,Anacardium,Anacardiaceae,cashew nuts
Castanea sativa,Castanea,Fagaceae,chestnuts
Coffea arabica,Coffea,Rubiaceae,coffee
Vaccinium macrocarpon,Vaccinium,Ericaceae,cranberries
Corylus avellana,Corylus,Betulaceae,hazelnuts
Simmondsia chinensis,Simmondsia,Simmondsiaceae,jojoba seeds
Vitellaria paradoxa,Vitellaria,Sapotaceae,karite nuts
Actinidia deliciosa,Actinidia,Actinidiaceae,kiwi
Citrus limon,Citrus,Rutaceae,lemons and limes
Citrus aurantiifolia,Citrus,Rutaceae,lemons and limes
Citrus medica,Citrus,Rutaceae,lemons and limes
Citrus reticulata,Citrus,Rutaceae,"mandarins, tangerines, clementines, and satsumas"
Mangifera indica,Magnifera,Anacardiaceae,"mangoes, mangosteens, and guavas*"
Garcinia x mangostana,Garcinia,Clusiaceae,"mangoes, mangosteens, and guavas*"
Psidium guajava,Psidium,Myrtaceae,"mangoes, mangosteens, and guavas*"
Olea europaea,Olea,Oleaceae,olives
Citrus aurantium,Citrus,Rutaceae,oranges
Citrus xsinensis,Citrus,Rutaceae,oranges
Elaeis guineensis,Elaeis,Arecaceae,palm fruit oil
Prunus persica,Prunus,Rosaceae,peaches and nectarines
Diospyros kaki,Diospyros,Ebenaceae,persimmons
Diospyros virginiana,Diospyros,Ebenaceae,persimmons
Pistacia vera,Pistacia,Anacardiaceae,pistachios
Prunus domestica,Prunus,Rosaceae,plums and sloes
Prunus spinosa,Prunus,Rosaceae,plums and sloes
Cydonia oblonga,Cydonia,Rosaceae,quinces
Juglans regia,Juglans,Juglandaceae,walnuts
Juglans nigra,Juglans,Juglandaceae,walnuts
Juglans cinerea,Juglans,Juglandaceae,walnuts
Ceratonia siliqua,Ceratonia,Fabaceae,carobs